iso,Precision,Recall,F1
AE,0.0,0.0,0
AF,1.0,0.75,0.8571428571428571
AL,0.3333333333333333,0.5,0.4
AM,0.5,1.0,0.6666666666666666
AO,0.0,0.0,0
AR,0.5,0.16666666666666666,0.25
AS,0.0,0.0,0
AT,0.0,0.0,0
AU,0.5,0.3333333333333333,0.4
AZ,0.5,0.3333333333333333,0.4
BA,0,0.0,0
BB,0,0.0,0
BD,0.8,0.4,0.5333333333333333
BE,0,0.0,0
BF,0.0,0.0,0
BG,1.0,1.0,1.0
BH,0.0,0.0,0
BI,0.0,0.0,0
BJ,0.0,0.0,0
BN,0.0,0.0,0
BO,1.0,0.25,0.4
BR,0.42105263157894735,0.4,0.41025641025641024
BS,0.0,0.0,0
BT,0.3333333333333333,0.25,0.28571428571428575
BW,0.6666666666666666,0.5,0.5714285714285715
BY,0.0,0.0,0
BZ,0.0,0.0,0
CA,1.0,0.3333333333333333,0.5
CD,0.0,0.0,0
CF,0.0,0.0,0
CH,0,0.0,0
CI,0.0,0.0,0
CL,1.0,0.3333333333333333,0.5
CM,0.0,0.0,0
CN,0.5,0.16666666666666666,0.25
CO,0.14285714285714285,0.16666666666666666,0.15384615384615383
CR,0.3333333333333333,0.25,0.28571428571428575
CU,0.3333333333333333,0.3333333333333333,0.3333333333333333
CV,0.0,0.0,0
CY,0.0,0.0,0
CZ,0,0.0,0
DE,0.0,0.0,0
DJ,1.0,0.25,0.4
DK,0,0.0,0
DM,0.0,0.0,0
DO,0.0,0.0,0
DZ,0.0,0.0,0
EC,0.25,0.1111111111111111,0.15384615384615383
EE,0.0,0.0,0
EG,0.0,0.0,0
ER,0.0,0.0,0
ES,0.0,0.0,0
ET,0.4,0.2857142857142857,0.3333333333333333
FI,0.0,0.0,0
FJ,1.0,0.5,0.6666666666666666
FM,0.0,0.0,0
FO,0,0.0,0
FR,0.5,0.25,0.3333333333333333
GA,0.0,0.0,0
GB,0,0.0,0
GD,1.0,1.0,1.0
GE,0.0,0.0,0
GH,0.0,0.0,0
GI,0,0.0,0
GM,0.0,0.0,0
GN,0.0,0.0,0
GP,0.0,0.0,0
GQ,0.0,0.0,0
GR,1.0,0.25,0.4
GT,0.0,0.0,0
GU,0.6666666666666666,0.6666666666666666,0.6666666666666666
GW,0.0,0.0,0
GY,0.0,0.0,0
HK,0.5,0.2,0.28571428571428575
HN,0.0,0.0,0
HR,0.0,0.0,0
HT,0.0,0.0,0
HU,0,0.0,0
ID,0.3,0.1,0.15
IE,0.0,0.0,0
