Species,Scope Accuracy,Severity Accuracy,Scope Fuzzy,Severity Fuzzy
42236_7.2,0,1,0.5,1.0
42236_11.1,0,1,0.5,1.0
831_5.1,1,0,1.0,0.75
41845_2.3.3,0,1,0.5,1.0
41845_9.3.2,0,0,0.5,0.75
20656_5.1.1,1,1,1.0,1.0
19252_2.1.3,1,0,1.0,0.25
108_8.1,0,0,0.5,0.75
7829_8.1.2,0,0,0.5,0.75
19252_7.1.3,0,0,0.5,0.75
19252_8.1,1,0,1.0,0.25
423656_2.1.3,1,0,1.0,0.5
7074_7.2.3,0,0,0.5,0.75
6965_8.1,0,0,0.5,0.5
4737_2.2.2,0,0,0.5,0.75
5401_5.1,0,1,0.5,1.0
867_2.1.3,1,1,1.0,1.0
41845_5.1.2,1,1,1.0,1.0
19318_11.1,1,1,1.0,1.0
20553_5.4.3,0,0,0.5,0.25
74832_5.1,0,0,0.5,0.5
5174_2.1.3,1,0,1.0,0.75
74321_5.1.1,0,0,0.5,0.75
85_5.1,1,0,1.0,0.75
43455_2.2,0,0,0.5,0.75
43455_2.1.3,1,0,1.0,0.75
10717_5.1,0,0,0.5,0.75
43455_2.1,0,0,0.5,0.25
5368_12.1,1,1,1.0,1.0
20553_5.1,1,1,1.0,1.0
75192_6.2,1,1,1.0,1.0
117214_11.2,1,1,1.0,1.0
4747_8.1.2,1,1,1.0,1.0
53492_5.1.1,1,0,1.0,0.75
559064_7.1,1,0,1.0,0.75
19284_8.5,1,0,1.0,0.75
42236_3.2,1,0,1.0,0.75
47075_5.1,0,1,0.0,1.0
472766_2.3,1,0,1.0,0.5
31651_2.1,1,0,1.0,0.75
5268_5.3,1,0,1.0,0.75
31227_2.1,1,0,1.0,0.75
19482_9.2,1,1,1.0,1.0
7074_8.1.2,1,0,1.0,0.5
73274_5.1,1,1,1.0,1.0
14093_2.3,0,0,0.5,0.75
5363_5.1,0,1,0.5,1.0
7071_8.1,1,0,1.0,0.5
4415_8.1.2,1,0,1.0,0.5
9497_5.1,1,0,1.0,0.75
5267_9.3.3,0,0,0.5,0.75
199915_9.6,1,0,1.0,0.75
35321_2.1.3,0,0,0.5,0.75
4478_8.1.2,1,0,1.0,0.75
30917_7.1.2,1,0,1.0,0.25
37213_7.2,1,0,1.0,0.75
32213_3.1,1,0,1.0,0.75
5426_5.1,0,1,0.5,1.0
30917_2.2,1,0,1.0,0.5
45836_4.1,0,1,0.0,1.0
41845_11.1,0,1,0.5,1.0
41845_11.2,0,1,0.0,1.0
4189_11.1,0,0,0.5,0.25
47083_5.1.1,0,0,0.0,0.5
14168_7.1,0,0,0.5,0.75
68530_5.1,0,0,0.5,0.25
522_2.3.4,0,0,0.0,0.75
35990_8.1,0,0,0.0,0.25
35990_8.1.2,0,0,0.0,0.5
7074_11.1,0,0,0.0,0.5
4287_9.2,0,0,0.0,0.25
40911_2.1,0,0,0.5,0.75
4287_9.2.1,0,0,0.0,0.5
64384_8.1,0,0,0.0,0.0
18938_5.1,0,0,0.0,0.75
116842_11.1,0,1,0.5,1.0
4287_11.1,0,1,0.0,1.0
40911_11.4,0,0,0.5,0.75
4287_8.1.2,0,0,0.0,0.75
14190_11.2,0,0,0.0,0.75
45836_2.1.1,0,0,0.5,0.75
45836_5.1.1,0,0,0.0,0.5
45836_2.1,0,0,0.5,0.75
45836_5.1,0,0,0.0,0.5
487_7.1,1,0,1.0,0.75
5312_1.1,0,0,0.5,0.75
5267_3.3,1,0,1.0,0.5
68530_7.2,1,1,1.0,1.0
318044_8.1.2,1,0,1.0,0.75
74558_5.1,0,0,0.5,0.5
42341_2.3.3,1,0,1.0,0.75
5167_7.1,1,0,1.0,0.75
4191_8.1.2,1,1,1.0,1.0
5426_7.3,1,1,1.0,1.0
108_2.3.3,1,1,1.0,1.0
199915_9.2,0,0,0.5,0.75
13270_2.3,1,0,1.0,0.5
5267_2.1.3,0,0,0.5,0.0
73172_1.1,1,1,1.0,1.0
