iso,Precision,Recall,F1
AE,0.0,0.0,0
AF,0.6666666666666666,0.5,0.5714285714285715
AL,1.0,0.5,0.6666666666666666
AM,0.0,0.0,0
AO,0.25,0.25,0.25
AR,0.6666666666666666,0.3333333333333333,0.4444444444444444
AS,0,0.0,0
AT,0,0.0,0
AU,0.5,0.3333333333333333,0.4
AZ,0,0.0,0
BA,0,0.0,0
BB,0,0.0,0
BD,1.0,0.5,0.6666666666666666
BE,0,0.0,0
BF,0,0.0,0
BG,1.0,0.5,0.6666666666666666
BH,0,0.0,0
BI,0,0.0,0
BJ,0,0.0,0
BN,0,0.0,0
BO,0.5,0.5,0.5
BR,0.3,0.3,0.3
BS,0,0.0,0
BT,1.0,0.25,0.4
BW,0.75,0.75,0.75
BY,0,0.0,0
BZ,0,0.0,0
CA,0,0.0,0
CD,0.0,0.0,0
CF,0.0,0.0,0
CH,0,0.0,0
CI,0.0,0.0,0
CL,0.0,0.0,0
CM,0.0,0.0,0
CN,0.7,0.5833333333333334,0.6363636363636365
CO,0.4166666666666667,0.4166666666666667,0.4166666666666667
CR,1.0,0.5,0.6666666666666666
CU,1.0,0.3333333333333333,0.5
CV,0.5,1.0,0.6666666666666666
CY,1.0,0.3333333333333333,0.5
CZ,0,0.0,0
DE,0,0.0,0
DJ,1.0,0.25,0.4
DK,0,0.0,0
DM,0,0.0,0
DO,0.0,0.0,0
DZ,0.0,0.0,0
EC,0.25,0.2222222222222222,0.23529411764705882
EE,0,0.0,0
EG,0,0.0,0
ER,0,0.0,0
ES,1.0,0.2,0.33333333333333337
ET,1.0,0.2857142857142857,0.4444444444444445
FI,0,0.0,0
FJ,1.0,1.0,1.0
FM,0,0.0,0
FO,0,0.0,0
FR,0,0.0,0
GA,0.0,0.0,0
GB,0,0.0,0
GD,0,0.0,0
GE,0,0.0,0
GH,0.6666666666666666,0.5,0.5714285714285715
GI,0,0.0,0
GM,0,0.0,0
GN,0.0,0.0,0
GP,0,0.0,0
GQ,0.0,0.0,0
GR,1.0,0.25,0.4
GT,0.5,0.5,0.5
GU,0.5,0.3333333333333333,0.4
GW,0,0.0,0
GY,0.0,0.0,0
HK,1.0,0.4,0.5714285714285715
HN,0.5,0.5,0.5
HR,1.0,0.5,0.6666666666666666
HT,0.0,0.0,0
HU,0,0.0,0
ID,0.5333333333333333,0.26666666666666666,0.3555555555555555
IE,0,0.0,0
IL,0.0,0.0,0
IN,0.7,0.4117647058823529,0.5185185185185185
IQ,1.0,1.0,1.0
IR,0.5,0.2,0.28571428571428575
IT,1.0,0.25,0.4
JM,0,0.0,0
JO,0.0,0.0,0
JP,0.5,0.125,0.2
KE,0.25,0.2,0.22222222222222224
KG,0.5,1.0,0.6666666666666666
KH,1.0,0.3333333333333333,0.5
KI,0.0,0.0,0
KN,0,0.0,0
KP,0.5,0.3333333333333333,0.4
KR,0.6666666666666666,0.3333333333333333,0.4444444444444444
KW,0,0.0,0
KZ,1.0,0.5,0.6666666666666666
LA,1.0,0.2222222222222222,0.3636363636363636
LB,0.5,1.0,0.6666666666666666
LC,0,0.0,0
LK,0.0,0.0,0
LR,0.0,0.0,0
LS,0,0.0,0
LU,0,0.0,0
LV,0,0.0,0
LY,0,0.0,0
MA,1.0,0.2,0.33333333333333337
MC,0,0.0,0
ME,0,0.0,0
MG,0.4,1.0,0.5714285714285715
MK,0,0.0,0
ML,0,0.0,0
MM,0.8333333333333334,0.38461538461538464,0.5263157894736842
MN,0,0.0,0
MP,1.0,0.25,0.4
MR,0.0,0.0,0
MT,0,0.0,0
MU,0.3333333333333333,0.3333333333333333,0.3333333333333333
MV,0,0.0,0
MW,1.0,0.75,0.8571428571428571
MX,0.2,0.1,0.13333333333333333
MY,0.6666666666666666,0.18181818181818182,0.28571428571428575
MZ,0.0,0.0,0
NC,1.0,0.3333333333333333,0.5
NE,0.0,0.0,0
NF,0.0,0.0,0
NG,0.0,0.0,0
NI,1.0,0.6666666666666666,0.8
NL,0,0.0,0
NO,0,0.0,0
NP,0.8,0.4,0.5333333333333333
NZ,0.5,0.1111111111111111,0.1818181818181818
OM,0.0,0.0,0
PA,0.2,0.25,0.22222222222222224
PE,0.2,0.2857142857142857,0.23529411764705882
PF,0.6,0.25,0.35294117647058826
PG,0.0,0.0,0
PH,0.7,0.3684210526315789,0.48275862068965514
PK,1.0,0.3333333333333333,0.5
PL,1.0,0.25,0.4
PR,1.0,1.0,1.0
PS,0.5,0.5,0.5
PT,1.0,0.2,0.33333333333333337
PY,0.3333333333333333,0.25,0.28571428571428575
QA,0,0.0,0
RE,0.0,0.0,0
RO,0,0.0,0
RS,0,0.0,0
RU,1.0,0.375,0.5454545454545454
RW,0.0,0.0,0
SA,0.5,0.25,0.3333333333333333
SB,0.0,0.0,0
SC,1.0,0.5,0.6666666666666666
SD,0.6,0.6,0.6
SE,0,0.0,0
SG,1.0,0.3333333333333333,0.5
SH,0.5,0.25,0.3333333333333333
SI,0,0.0,0
SK,0,0.0,0
SL,0.0,0.0,0
